author,statement,source,date,label,BinaryTarget
Madison Czopek,"There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Sean Hannity,17-Sep-25,FALSE,0
Loreben Tuquero,Former President Barack Obama eliminated a law that “held news corporations accountable for lying to the American people.”,Social Media,12-Sep-25,FALSE,0
Louis Jacobson,“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,Katherine Clark,12-Sep-25,Mostly True,1
Paul Specht,“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,X posts,16-Aug-25,Barely True,0
Will Doran,Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Michael Whatley,6-Sep-25,FALSE,0
Samantha Putterman,A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,X posts,11-Sep-25,FALSE,0
Louis Jacobson,"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",U.S. Energy Department,5-Sep-25,FALSE,0
Maria Briceño,Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,TikTok posts,7-Sep-25,FALSE,0
Maria Ramirez Uribe,Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,Kristi Noem,19-Aug-25,Half True,1
Louis Jacobson,“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,Donald Trump,26-Aug-25,Half True,1
Louis Jacobson,“The average American worker has already seen a $500 wage increase this year.”,Donald Trump,26-Aug-25,Half True,1
Grace Abels,“Everybody can get” the COVID-19 vaccine.,Robert F. Kennedy Jr.,4-Sep-25,Barely True,0
Samantha Putterman,Every school vaccine mandate “drips” with “slavery.”,Joseph Ladapo,3-Sep-25,Pants Fire,0
Maria Ramirez Uribe,"U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",Kristi Noem,19-Aug-25,Half True,1
Maria Briceño,President Donald Trump’s “official schedule was suddenly suspended.”,X posts,1-Sep-25,FALSE,0
Samantha Putterman,The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,James Uthmeier,24-Aug-25,FALSE,0
Maria Briceño,A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,X posts,28-Aug-25,Pants Fire,0
